FrameNumber,Spot ID,X,Y,Z,Radius,Center Intensity,Orientation (if meaningful),Length (if meaningful), Fit Background (for FIONA), Gaussian Summed Value (for FIONA), Mean Background (FIONA), Summed Value (for FIONA)
133, 133, 1156.781250,897.593750,0.000000, 25.000000, 386.754883, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
134, 134, 1190.375000,744.718750,0.000000, 25.000000, 186.726563, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
135, 135, 1223.500000,589.468750,0.000000, 25.000000, 309.203125, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
136, 136, 1256.437500,433.218750,0.000000, 25.000000, 313.218750, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
154, 154, 1005.500000,916.250000,0.000000, 25.000000, 417.625000, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
155, 155, 1038.718750,763.718750,0.000000, 25.000000, 389.766602, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
156, 156, 1071.500000,609.500000,0.000000, 25.000000, 385.500000, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
157, 157, 1103.593750,453.625000,0.000000, 25.000000, 417.625000, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
158, 158, 1134.968750,297.500000,0.000000, 25.000000, 261.015625, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
159, 159, 1165.656250,142.218750,0.000000, 25.000000, 457.781250, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
175, 175, 854.531250,935.312500,0.000000, 25.000000, 337.312500, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
176, 176, 887.468750,782.750000,0.000000, 25.000000, 321.250000, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
177, 177, 919.531250,628.875000,0.000000, 25.000000, 169.660156, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
178, 178, 950.968750,473.593750,0.000000, 25.000000, 258.505859, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
179, 179, 982.218750,318.687500,0.000000, 25.000000, 199.275391, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
180, 180, 1012.531250,163.781250,0.000000, 25.000000, 457.781250, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
181, 181, 1042.437500,7.812500,0.000000, 25.000000, 465.812500, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
196, 196, 704.156250,953.625000,0.000000, 25.000000, 417.625000, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
197, 197, 736.187500,801.656250,0.000000, 25.000000, 353.876953, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
198, 198, 767.500000,648.281250,0.000000, 25.000000, 441.718750, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
199, 199, 798.781250,494.500000,0.000000, 25.000000, 285.109375, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
200, 200, 829.906250,339.718750,0.000000, 25.000000, 441.718750, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
201, 201, 860.375000,184.750000,0.000000, 25.000000, 321.250000, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
202, 202, 889.781250,29.250000,0.000000, 25.000000, 321.250000, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
217, 217, 553.125000,973.500000,0.000000, 25.000000, 385.500000, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
